"","name","studyName","germplasmDbId","trait","predicted.value","standard.error","upper.Confidence.limit","lower.Confidence.limit","est.status"
"70","KWS342","PNU_Scb_21","280819","FHB.incidence.....",23.539774009375,10.372758872254,43.9385870627503,3.14096095599964,"Estimable"
"71","KWS342","PNU_Scb_21","280819","FHB.severity.....",21.4873756470053,5.93746190724591,33.1638425300274,9.81090876398324,"Estimable"
"72","KWS342","PNU_Scb_21","280819","Heading.time...Julian.date..JD..",135.697162101165,0.66224415048958,136.999515196218,134.394809006111,"Estimable"
"73","KWS347","PNU_Scb_21","280820","FHB.grain.incidence.....",5.60882411089265,6.67853324077378,18.7426636927332,-7.52501547094795,"Estimable"
"74","KWS347","PNU_Scb_21","280820","FHB.incidence.....",14.8272741821383,10.373147310488,35.2268511286125,-5.5723027643359,"Estimable"
"75","KWS347","PNU_Scb_21","280820","FHB.severity.....",25.0493696160979,5.94061274971553,36.7320328685999,13.3667063635959,"Estimable"
"76","KWS347","PNU_Scb_21","280820","Heading.time...Julian.date..JD..",136.75947911301,0.662369468101608,138.062078654605,135.456879571416,"Estimable"
"77","KWS358","PNU_Scb_21","280822","FHB.grain.incidence.....",14.9209180621639,6.68325556829578,28.0640444574246,1.77779166690325,"Estimable"
"78","KWS358","PNU_Scb_21","280822","FHB.incidence.....",26.8703173160687,10.4097687039125,47.3419129961722,6.39872163596529,"Estimable"
"79","KWS358","PNU_Scb_21","280822","FHB.severity.....",29.420294712874,6.03039584641371,41.2795232000888,17.5610662256592,"Estimable"
"80","KWS358","PNU_Scb_21","280822","Heading.time...Julian.date..JD..",138.13220157813,0.668017776693989,139.445908944794,136.818494211466,"Estimable"
"81","KWS369","PNU_Scb_21","280825","FHB.grain.incidence.....",10.1093270276122,6.68349273413742,23.252919827397,-3.03426577217268,"Estimable"
"82","KWS369","PNU_Scb_21","280825","FHB.incidence.....",48.5874468141062,10.3730077718678,68.9867493473542,28.1881442808582,"Estimable"
"83","KWS369","PNU_Scb_21","280825","FHB.severity.....",9.24632678210502,5.93940843131593,20.926621651596,-2.43396808738595,"Estimable"
"84","KWS369","PNU_Scb_21","280825","Heading.time...Julian.date..JD..",140.662655946757,0.662323506926013,141.965165102232,139.360146791283,"Estimable"
"85","KWS428","PNU_Scb_21","280826","FHB.grain.incidence.....",33.3573892137908,6.69357388790719,46.5208073631904,20.1939710643912,"Estimable"
"86","KWS428","PNU_Scb_21","280826","FHB.incidence.....",42.9537690614864,10.4080124269817,63.4219108904763,22.4856272324966,"Estimable"
"87","KWS428","PNU_Scb_21","280826","FHB.severity.....",15.7874491548544,6.01449870353763,27.6154147110009,3.95948359870794,"Estimable"
"88","KWS428","PNU_Scb_21","280826","Heading.time...Julian.date..JD..",139.066031493683,0.667423282496051,140.378569742646,137.753493244719,"Estimable"
"89","MI20R0107","PNU_Scb_21","280837","FHB.grain.incidence.....",8.79620732911979,6.69362711451684,21.9597301526638,-4.36731549442418,"Estimable"
"90","MI20R0107","PNU_Scb_21","280837","FHB.incidence.....",5.91615067991513,10.372240068086,26.3139434657452,-14.4816421059149,"Estimable"
"91","MI20R0107","PNU_Scb_21","280837","FHB.severity.....",17.8582999210995,5.93333267788192,29.5266463629845,6.18995347921444,"Estimable"
"92","MI20R0107","PNU_Scb_21","280837","Heading.time...Julian.date..JD..",138.069884689607,0.662078283793239,139.371911595286,136.767857783928,"Estimable"
"93","MI20R0111","PNU_Scb_21","280838","FHB.grain.incidence.....",14.017982483494,6.68854764354605,27.1715161440757,0.864448822912282,"Estimable"
"94","MI20R0111","PNU_Scb_21","280838","FHB.incidence.....",8.12689003398063,10.3727588706538,28.525703084209,-12.2719230162478,"Estimable"
"95","MI20R0111","PNU_Scb_21","280838","FHB.severity.....",17.5126239191682,5.93746189824262,29.1890907844847,5.83615705385183,"Estimable"
"96","MI20R0111","PNU_Scb_21","280838","Heading.time...Julian.date..JD..",137.302837618772,0.66224414776482,138.605190708467,136.000484529076,"Estimable"
"97","MI20R0148","PNU_Scb_21","280840","FHB.grain.incidence.....",6.49750837982621,6.68373169878862,19.64157112163,-6.64655436197757,"Estimable"
"98","MI20R0148","PNU_Scb_21","280840","FHB.incidence.....",2.57634730558475,10.3724781887556,22.9746083736801,-17.8219137625106,"Estimable"
"99","MI20R0148","PNU_Scb_21","280840","FHB.severity.....",5.64466898194293,5.93478377106102,17.3158691080646,-6.02653114417869,"Estimable"
"100","MI20R0148","PNU_Scb_21","280840","Heading.time...Julian.date..JD..",137.991403205499,0.662146851264907,139.293564954286,136.689241456713,"Estimable"
"101","MI20R0157","PNU_Scb_21","280841","FHB.grain.incidence.....",2.46819945488952,6.68380187670064,15.6124002068529,-10.6760012970739,"Estimable"
"102","MI20R0157","PNU_Scb_21","280841","FHB.incidence.....",8.49393902134338,10.3731473074337,28.8935159618111,-11.9056379191244,"Estimable"
"103","MI20R0157","PNU_Scb_21","280841","FHB.severity.....",10.0493702669901,5.94061273511977,21.7320334907884,-1.63329295680825,"Estimable"
"104","MI20R0157","PNU_Scb_21","280841","Heading.time...Julian.date..JD..",136.092813549362,0.662369463264305,137.395413081444,134.790214017281,"Estimable"
"105","MI20R0162","PNU_Scb_21","280842","FHB.grain.incidence.....",0.405309681916551,6.68399059371807,13.5498815601354,-12.7392621963023,"Estimable"
"106","MI20R0162","PNU_Scb_21","280842","FHB.incidence.....",6.83939239053343,10.3731473089985,27.2389693340785,-13.5601845530116,"Estimable"
"107","MI20R0162","PNU_Scb_21","280842","FHB.severity.....",11.950628864626,5.94061274336793,23.6332921046449,0.267965624607019,"Estimable"
"108","MI20R0162","PNU_Scb_21","280842","Heading.time...Julian.date..JD..",133.240520713121,0.662369465847832,134.543120250284,131.937921175959,"Estimable"
"109","MI20R0177","PNU_Scb_21","280843","FHB.grain.incidence.....",11.0142082366724,6.68302364750399,24.1568785421952,-2.12846206885043,"Estimable"
"110","MI20R0177","PNU_Scb_21","280843","FHB.incidence.....",38.7093119607687,10.4084208775461,59.1782570386152,18.2403668829222,"Estimable"
"111","MI20R0177","PNU_Scb_21","280843","FHB.severity.....",8.59637839198568,6.01858736233803,20.4323846041944,-3.23962782022303,"Estimable"
"112","MI20R0177","PNU_Scb_21","280843","Heading.time...Julian.date..JD..",140.709769160338,0.667568734042863,142.022593450744,139.396944869932,"Estimable"
"113","OH17-124-70","PNU_Scb_21","280854","FHB.grain.incidence.....",5.69412465594426,6.67865900396577,18.828211560592,-7.4399622487035,"Estimable"
"114","OH17-124-70","PNU_Scb_21","280854","FHB.incidence.....",7.15883802213022,10.4086655078142,27.6282641838588,-13.3105881395983,"Estimable"
"115","OH17-124-70","PNU_Scb_21","280854","FHB.severity.....",11.2818911951067,6.01988356519942,23.1204464880541,-0.556664097840761,"Estimable"
"116","OH17-124-70","PNU_Scb_21","280854","Heading.time...Julian.date..JD..",138.337639341372,0.667635956688624,139.650595830184,137.024682852561,"Estimable"
